item,itemLabel,startDate,endDate,sourceDate,psid
Q313239,Alpha Oumar Konaré,1992-06-08,2002-06-08,,Q313239-d7ce194c-40e4-6df5-d7c6-483c17911246
Q170597,Amadou Toumani Touré,2002-06-08,2012-03-22,,Q170597-1ae981e1-49f9-6678-be3f-f0e98424115e
Q372679,Amadou Haya Sanogo,2012-03-22,2012-04-12,,Q372679-f3fb8786-493c-c4b2-bd4e-49219b8c13da
Q372780,Dioncounda Traoré,2012-04-12,2013-09-04,,Q372780-64114173-432f-d8da-3cdc-8841f309dabc
Q324108,Ibrahim Boubacar Keïta,2013-09-04,2020-08-18,,Q324108-e91141bd-4842-be09-aaa5-26eac7fcc56a
Q99522144,Bah N'Daw,2020-09-25,,,Q99522144-d3b38d08-48f2-d9f9-ba51-ce0983afd10c
Q98497406,Assimi Goïta,2021-05-24,,,Q98497406-061d8ea4-4232-f368-b7d2-f0e77f679154
