@@,item,itemlabel,startdate,enddate
->,Q313239,Alpha Oumar Konaré,1992-06-08->1997-06-08,2002-06-08
->,Q170597,Amadou Toumani Touré,2002-06-08,2012-03-22->2007-06-08
+++,Q170597,Amadou Toumani Touré,2007-06-08,2012-03-22
->,Q324108,Ibrahim Boubacar Keïta,2013-09-04,2020-08-18->2018-09-04
+++,Q324108,Ibrahim Boubacar Keïta,2018-09-04,2020-08-18
+++,Q98497406,Assimi Goïta,2020-08-24,2020-09-25
->,Q99522144,Bah N'Daw,2020-09-25,NULL->2021-05-24
