item,itemLabel,minister,ministerLabel,began,ended
Q50037236,Ministry of Economy and Finance,,,,
Q30261928,Ministry of Environment and Sanitation of Mali,,,,
Q112167502,Ministry of Information of Mali,Q113669378,Minister of Information of Mali,1960,1970
Q55648360,Ministry of Justice (Mali),Q113669387,Minister of Justice of Mali,,
Q21039417,Ministry of Public Health and Hygiene,Q98915776,Minister of Health of Mali,,
