item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q100152366,Sadio Camara,NormalRank,Q771251,Kati,true,true,true,false,true,false,false
Q100233714,Maïga Zeïnab Mint Youba,NormalRank,Q2548982,Bamba,true,true,true,false,false,false,true
Q100275809,Togola Marie Jacqueline Nana,NormalRank,Q722827,Sikasso,true,true,false,,,,
Q100276030,Q100276030,,,,,,false,,,,
Q100330225,Q100330225,NormalRank,Q650100,Kidal,true,true,false,,,,
Q103868460,Malick Diaw,NormalRank,Q333476,Ségou,true,true,true,false,true,false,false
Q105106997,Zeïni Moulaye,NormalRank,Q188904,Gao,true,true,false,,,,
Q105587923,Fanta Siby,NormalRank,Q538753,Bandiagara,true,true,true,false,false,false,true
Q106466538,Alioune Nouhoum Diallo,,,,,,false,,,,
Q106580823,Alousséni Sanou,NormalRank,Q771251,Kati,true,true,true,false,true,false,false
Q107124615,Souleymane Doucouré,,,,,,false,,,,
Q107710432,Diéminatou Sangaré,NormalRank,Q3703,Bamako,true,true,false,,,,
Q107710573,Sidibé Dédéou Ousmane,NormalRank,Q9427,Timbuktu,true,true,false,,,,
Q110607746,Mahamadou Cissé,,,,,,false,,,,
Q110607782,Bano Diawara,,,,,,false,,,,
Q110610934,Marthe Diawara,,,,,,false,,,,
Q110610978,Modibo Kane Doumbia,,,,,,false,,,,
Q110611238,Q110611238,,,,,,false,,,,
Q110611648,Mariam Soucko,,,,,,false,,,,
Q110611691,Awa Diakité Sangaré,NormalRank,http://www.wikidata.org/.well-known/genid/e8bb9bf7268443282b3e664c992644e5,http://www.wikidata.org/.well-known/genid/e8bb9bf7268443282b3e664c992644e5,false,false,false,,,,
Q110611708,Mariam Dembélé Kallé,,,,,,false,,,,
Q110611721,Wadi Sissoko,NormalRank,http://www.wikidata.org/.well-known/genid/83d4bbbc3eec6f5ac7ac80839996d2ee,http://www.wikidata.org/.well-known/genid/83d4bbbc3eec6f5ac7ac80839996d2ee,false,false,false,,,,
Q110611766,Moussocoura Samaké,,,,,,false,,,,
Q110611794,Marie Noël Coulibaly,NormalRank,http://www.wikidata.org/.well-known/genid/b8f149e567fcde8d15fd35d249a24c8a,http://www.wikidata.org/.well-known/genid/b8f149e567fcde8d15fd35d249a24c8a,false,false,false,,,,
Q110611835,Q110611835,,,,,,false,,,,
Q110611885,Domo Sidibé,,,,,,false,,,,
Q110611985,Sadio Doumbia,,,,,,false,,,,
Q110612018,Djénéba Traoré,,,,,,false,,,,
Q110619740,Oumou Soumaré,,,,,,false,,,,
Q110619768,Haoua Traoré,,,,,,false,,,,
Q110619802,Fatoumata Kanouté,,,,,,false,,,,
Q110619847,Kadidia Ouologuem,,,,,,false,,,,
Q110619920,Q110619920,,,,,,false,,,,
Q110619954,Q110619954,,,,,,false,,,,
Q110620027,Bintou Dembélé,NormalRank,Q1768401,Zebala,true,true,false,,,,
Q110620088,Q110620088,,,,,,false,,,,
Q110655343,Mariam Kagnassi,,,,,,false,,,,
Q110655554,Oumou Coulibaly,NormalRank,Q110655563,Siguiné,true,true,false,,,,
Q110655570,Oumou Coulibaly,,,,,,false,,,,
Q110655841,Assitan Diallo,NormalRank,Q3703,Bamako,true,true,false,,,,
Q110656050,Djouwaratou Zoromé,,,,,,false,,,,
Q110656068,Q110656068,,,,,,false,,,,
Q110656077,Alida Somboro,,,,,,false,,,,
Q110656079,Yapema Djiguiba,,,,,,false,,,,
Q110656156,Belco Samassékou,NormalRank,Q211227,Mopti,true,true,false,,,,
Q110656850,Mariam Diassana,NormalRank,Q1767129,Tominian,true,true,false,,,,
Q110659318,Q110659318,,,,,,false,,,,
Q110663397,Kadidia Sangaré,NormalRank,Q950460,San,true,true,true,false,true,false,false
Q110663729,Mariam Coulibaly,NormalRank,Q497300,Bla,true,true,true,false,true,false,false
Q110663771,Q110663771,,,,,,false,,,,
Q110663825,Ami Diarra,,,,,,false,,,,
Q110664042,Q110664042,NormalRank,Q3703,Bamako,true,true,true,false,true,false,false
Q110664084,Q110664084,,,,,,false,,,,
Q110665472,Q110665472,NormalRank,Q770980,Youwarou,true,true,true,false,true,false,false
Q110665543,Aminata Traoré Bagayoko,NormalRank,Q950460,San,true,true,false,,,,
Q110665591,Q110665591,NormalRank,Q2427869,Kéniéba,true,true,true,false,true,false,false
Q110665592,Q110665592,NormalRank,Q9427,Timbuktu,true,true,false,,,,
Q110665614,Fatimata Niambali,NormalRank,Q848574,Bougouni,true,true,true,false,true,false,false
Q110665787,Rokia Traoré,NormalRank,Q1767139,Fourou,true,true,false,,,,
Q110665803,Alhousna Malick Touré,NormalRank,Q188904,Gao,true,true,false,,,,
Q110665898,Fatoumata Simpara,NormalRank,Q3703,Bamako,true,true,false,,,,
Q110672313,Dioncounda Sacko,NormalRank,Q3703,Bamako,true,true,false,,,,
Q113577661,Abdoulaye Maïga,NormalRank,Q3703,Bamako,true,true,true,false,true,false,false
Q113669238,Seyba Traoré,,,,,,false,,,,
Q113669582,Samba Alhamdou Baby,,,,,,false,,,,
Q113669743,Mamadou Kassogue,,,,,,false,,,,
Q114674175,Amadou Keïta,,,,,,false,,,,
Q114674176,Andogoly Guindo,,,,,,false,,,,
Q114674177,Bakary Doumbia,,,,,,false,,,,
Q114674178,Bréhima Kamena,,,,,,false,,,,
Q114674179,Daouda Aly Mohammedine,,,,,,false,,,,
Q114674180,Dembéle Madina Sissoko,,,,,,false,,,,
Q114674181,Diawara Aoua Paul Diallo,,,,,,false,,,,
Q114674182,Fatoumata Sékou Dicko,,,,,,false,,,,
Q114674183,Hamdou Ag Ilène,,,,,,false,,,,
Q114674184,Harouna Mamadou Toureh,,,,,,false,,,,
Q114674185,Ibrahim Ikassa Maïga,,,,,,false,,,,
Q114674186,Lamine Seydou Traoré,,,,,,false,,,,
Q114674187,Mahamadou Koné,,,,,,false,,,,
Q114674188,Mahmoud Ould Mohamed,,,,,,false,,,,
Q114674189,Modibo Koné,,,,,,false,,,,
Q114674190,Moussa Ag Attaher,,,,,,false,,,,
Q114674191,Oumarou Diarra,,,,,,false,,,,
Q114674192,Wadidié Founè Coulibaly,,,,,,false,,,,
Q114674193,Youba Ba,,,,,,false,,,,
Q114674242,Modibo Keïta,,,,,,false,,,,
Q114674578,Modibo Kone,,,,,,false,,,,
Q1362358,Younoussi Touré,NormalRank,Q100156207,Q100156207,true,true,true,false,false,false,true
Q14832856,Oumar Tatam Ly,NormalRank,Q90,Paris,true,true,true,false,false,false,true
