position,person,personID,start,end
President,Assimi Goïta,Q98497406,2021-05-24,
Prime Minister,Abdoulaye Maïga,Q113577661,2022-08-21,
Minister of Communications,Harouna Mamadou Toureh,Q114674184,2021-06-11,
Minister of Culture and Tourism,Andogoly Guindo,Q114674176,2021-06-11,
Minister of Defence,Sadio Camara,Q100152366,2021-06-11,
Minister of Economy and Finance,Alousséni Sanou,Q106580823,2020-10-05,
Minister of Education,Sidibé Dédéou Ousmane,Q107710573,2021-06-11,
"Minister of Entrepreneurship, Employment, and Training",Bakary Doumbia,Q114674177,2021-06-11,
Minister of the Environment,Modibo Koné,Q114674189,2021-06-11,
Minister of Foreign Affairs,Abdoulaye Diop,Q2821367,2021-06-11,
Minister of Health,Diéminatou Sangaré,Q107710432,2021-06-11,
Minister of Higher Education and Scientific Research,Amadou Keïta,Q114674175,2021-06-11,
Minister of Industry and Trade,Mahmoud Ould Mohamed,Q114674188,2021-06-11,
Minister of Internal Security and Civil Protection,Daouda Aly Mohammedine,Q114674179,2021-06-11,
Minister of Justice,Mamadou Kassogue,Q113669743,2021-06-11,
Minister of Labour,Diawara Aoua Paul Diallo,Q114674181,2021-06-11,
Minister of Malians Abroad and African Integration,Hamdou Ag Ilène,Q114674183,2021-06-11,
"Minister of Mining, Energy, and Water",Lamine Seydou Traoré,Q114674186,2021-06-11,
Minister of Reconciliation,Ismaël Wagué,Q98491629,2020-10-05,
Minister of Religious Affairs,Mahamadou Koné,Q114674187,2021-06-11,
Minister of Rural Development,Modibo Keïta,Q114674242,2021-06-11,
Minister of State Reforms,Ibrahim Ikassa Maïga,Q114674185,2021-06-11,
Minister of Territorial Administration and Decentralisation,Abdoulaye Maïga,Q113577661,2021-06,
Minister of Town Planning and Housing,Bréhima Kamena,Q114674178,2021-06-11,
Minister of Transport and Infrastructure,Dembéle Madina Sissoko,Q114674180,2021-06-11,
"Minister of Women, Children, and the Family",Wadidié Founè Coulibaly,Q114674192,2021-06-11,
Minister of Youth and Sport,Moussa Ag Attaher,Q114674190,2021-06-11,
Minister Delegate to the Prime Minister,Fatoumata Sékou Dicko,Q114674182,2021-06-11,
Minister Delegate to the Minister of Health,Oumarou Diarra,Q114674191,2021-06-11,
Minister Delegate to the Minister of Rural Development,Youba Ba,Q114674193,2021-06-11,
