wanted,position,positionid,from,start,end
Q107124615,Minister of Defence,Q98915482,Q100152366,2020-10-05,2021-05-24
Q99522144,Chairman of the National Committee for the Salvation of the People,Q113669206,Q98497406,2020-08-19,2020-09-25
Q114674059,Minister of Internal Security and Civil Protection,Q64029451,Q30121857,2015-09-25,2020-07-27
Q3530016,Minister of Defence,Q98915482,Q99522144,2014-05-28,2015-01-10
Q98915511,Minister of Defence,Q98915482,Q3123070,2012-04-24,2014-03-05
