item,itemLabel,startDate,endDate,sourceDate,psid
Q445841,Modibo Sidibé,1997-09-16,2002-06-09,,Q445841-E582E5D9-7DAC-4D27-8733-76FD031AC684
Q6493863,Lassana Traoré,2002,2004,,Q6493863-c5f4eba0-4bf7-12c9-780b-e03028999599
Q3317754,Moctar Ouane,2004,2011,,Q3317754-BF0B5D0C-E3B8-4A66-B3A8-6125BE3B60F5
Q2398472,Soumeylou Boubèye Maïga,2011,2012,,Q2398472-977680F3-0FF5-4E82-AE3F-60B87102A70A
Q3461135,Sadio Lamine Sow,2012,2012,,Q3461135-87EE5CD4-6300-4BC5-A834-10196C050444
Q3530016,Tiéman Hubert Coulibaly,2012,2013,,Q3530016-6119dd86-4e7f-b942-d8fb-f3e1498a8820
Q16269580,Zahabi Ould Sidi Mohamed,2013,2014,,Q16269580-866d91aa-4dd0-16e6-1761-4b5f7afd747b
Q2821367,Abdoulaye Diop,2014,2017,,Q2821367-EAFCAE7A-ECE0-42C1-8D53-2A0726FAA4B0
Q3530016,Tiéman Hubert Coulibaly,2017-12-30,2018-09-09,2022-09-01,Q3530016-2b38f41e-41ab-1a83-9a13-7da2d8a62215
Q56576583,Kamissa Camara,2018-09-09,2019-04-23,,Q56576583-F5FE8B87-7CAE-4ABA-84FE-6F68F192203E
Q775684,Tiébilé Dramé,2019-04-23,2020-08-18,,Q775684-5DCE7B8C-AD11-47A0-95C8-E6308D4B6845
Q105106997,Zeyni Moulaye,2020,2021,2022-09-01,Q105106997-90537143-4ef4-d793-6420-1527bbe13c2e
Q2821367,Abdoulaye Diop,2021-06-11,,,Q2821367-FA15CAA9-0539-4678-9CC2-762C0173DD57
