item,itemLabel,position,positionLabel,startDate,endDate
Q2964323,Choguel Kokalla Maïga,,Premier ministre,2021-06-11,
,Sadio Camara,,Ministre de la Défense et Anciens combattants,2021-06-11,
,Mamadou Kassogué,,Ministre de la Justice,2021-06-11,
,Ibrahim Ikassa Maïga,,Ministre de la Refondation des institutions,2021-06-11,
Q113577661,Abdoulaye Maïga,,Ministre de l'Administration territoriale et de la Décentralisation,2021-06-11,
,Daouda Aly Mohammedine,,Ministre de la Sécurité et de la Protection civile,2021-06-11,
Q98491629,Ismaël Wagué,,Ministre de la Réconciliation nationale,2021-06-11,
,Dembéle Madina Sissoko,,Ministre des Transports et des Infrastructures,2021-06-11,
Q2821367,Abdoulaye Diop,,Ministre des Affaires étrangères et de la Coopération internationale,2021-06-11,
,Alfousseyni Sanou,,Ministre de l'Économie et des Finances,2021-06-11,
,Sidibé Dedeou Ousmane,,Ministre de l'Éducation nationale,2021-06-11,
,Amadou Keïta,,Ministre de l'Enseignement supérieur et de la Recherche scientifique,2021-06-11,
,Lamine Seydou Traoré,,"Ministre des Mines, de l'Énergie et de l'Eau",2021-06-11,
,Diéminatou Sangaré,,Ministre de la Santé et du Développement social,2021-06-11,
,Diawara Aoua Paul Diallo,,Ministre du Travail et de la Fonction publique et du dialogue social,2021-06-11,
,Moussa Ag Attaher,,Ministre de la Jeunesse et des Sports,2021-06-11,
,Hamdou Ag Ilène,,Ministre de la Population du Mali à l'étranger et de l'Intégration africaine,2021-06-11,
Q19059873,Modibo Keïta,,Ministre du Développement rural,2021-06-11,
,Bakary Doumbia,,"Ministre de l'Entreprenariat national, de l'Emploi et de la Formation professionnelle",2021-06-11,
,Wadidié Founè Coulibaly,,"Ministre de la Promotion de la femme, de l'Enfant et de la Famille",2021-06-11,
,Mahmoud Ould Mohamed,,"Ministre de l'Industrie, du Commerce et de la Promotion des investissements",2021-06-11,
,Bréhima Kamena,,Ministre de l'Urbanisme et de l'Habitat,2021-06-11,
,Modibo Koné,,"Ministre de l'Environnement, de l'Assainissement et du Développement durable",2021-06-11,
,Harouna Mamadou Toureh,,Ministre de la Communication et de l'Économie numérique,2021-06-11,
,Andogoly Guindo,,"Ministre de la Culture, de l'Artisanat et du Tourisme",2021-06-11,
,Mahamadou Koné,,Ministre des Affaires religieuses et du Culte,2021-06-11,
,Fatoumata Sékou Dicko,,"Ministre délégué auprès du Premier ministre, chargé des Réformes politique et institutionnelles",2021-06-11,
,Oumarou Diarra,,"Ministre délégué auprès du ministre de la Santé et du Développement social, chargé de l'Action humanitaire, de la Solidarité, des Réfugiés et des Déplacés",2021-06-11,
,Youba Ba,,"Ministre délégué auprès du ministre du Développement rural, chargé de l'Élevage et de la Pèche",2021-06-11,
