positionlabel,position
Ministre de l'Enseignement supérieur et de la Recherche scientifique,Q114674107
"Ministre de l'Entreprenariat national, de l'Emploi et de la Formation professionnelle",Q114674111
"Ministre de l'Environnement, de l'Assainissement et du Développement durable",Q114674113
"Ministre de l'Industrie, du Commerce et de la Promotion des investissements",Q114674116
Ministre de l'Urbanisme et de l'Habitat,Q114674117
Ministre de l'Éducation nationale,Q113669470
Ministre de la Communication et de l'Économie numérique,Q113669477
"Ministre de la Culture, de l'Artisanat et du Tourisme",Q114674120
Ministre de la Défense et Anciens combattants,Q98915482
Ministre de la Jeunesse et des Sports,Q114674122
Ministre de la Population du Mali à l'étranger et de l'Intégration africaine,Q114674125
"Ministre de la Promotion de la femme, de l'Enfant et de la Famille",Q114674127
Ministre de la Refondation des institutions,Q114674140
Ministre de la Réconciliation nationale,Q114674142
Ministre de la Sécurité et de la Protection civile,Q64029451
Ministre des Affaires religieuses et du Culte,Q114674143
"Ministre des Mines, de l'Énergie et de l'Eau",Q114674147
Ministre des Transports et des Infrastructures,Q114674148
Ministre du Développement rural,Q114674150
Ministre du Travail et de la Fonction publique et du dialogue social,Q114674151
"Ministre délégué auprès du Premier ministre, chargé des Réformes politique et institutionnelles",Q114674154
"Ministre délégué auprès du ministre de la Santé et du Développement social, chargé de l'Action humanitaire, de la Solidarité, des Réfugiés et des Déplacés",Q114674155
"Ministre délégué auprès du ministre du Développement rural, chargé de l'Élevage et de la Pèche",Q114674158
