@@,item,itemlabel,position,positionlabel,enddate,psid
->,Q113577661->Q113578945,Abdoulaye Maïga,Q113669399,Ministre de l'Administration territoriale et de la Décentralisation,,Q113577661-57e4efaf-4aae-c732-fa52-787078e5a0be
->,Q114674242->Q19059873,Modibo Keïta,Q114674150,Ministre du Développement rural,,Q114674242-C9233EF1-7793-4E31-B6CF-5C36533EDE12
