item,itemLabel,startDate,endDate,sourceDate,psid
Q106466538,Aly Nouhoum Diallo,1992,2002,2022-09-01,Q106466538-31C773C0-7D3D-471D-B2C0-02946B1A81C2
Q324108,Ibrahim Boubacar Keïta,2002-09-16,2007-09-03,,Q324108-1F148DD6-9F4E-4C22-AF8C-D4BC858C1476
Q372780,Dioncounda Traoré,2007-09-03,2012-04-12,2022-09-01,Q372780-5377959D-B046-4F42-A381-930645ADE22C
Q1362358,Younoussi Touré,2012,2013,2022-09-01,Q1362358-B819CC79-3C58-4376-9AF7-77119A9054E8
Q23023240,Issaka Sidibé,2014-01-22,2020-05-11,2022-09-01,Q23023240-666858D5-B0FF-4E80-B1B4-8F4E2E57CE7B
Q95114007,Moussa Timbiné,2020-05-11,2020-08-18,2022-09-01,Q95114007-A5C84604-65E3-4E26-81D5-82AF429BEF85
