item,itemLabel,startDate,endDate
Q324108,Ibrahim Boubacar Keïta,1994-02-04,2000-02-15
Q2066240,Mandé Sidibé,2000-02-15,2002-03-18
Q6889310,Modibo Keita,2002-03-18,2002-06-09
Q401392,Ahmed Mohamed ag Hamani,2002-06-09,2004-04-29
Q434377,Ousmane Issoufi Maïga,2004-04-29,2007-09-28
Q445841,Modibo Sidibé,2007-09-28,2011-04-03
Q293119,Cissé Mariam Kaïdama Sidibé,2011-04-03,2012-03-22
Q548003,Cheick Modibo Diarra,2012-04-17,2012-12-11
Q861710,Django Sissoko,2012-12-11,2013-09-05
Q14832856,Oumar Tatam Ly,2013-09-05,2014-04-05
Q3326215,Moussa Mara,2014-04-05,2015-01-09
Q6889310,Modibo Keita,2015-01-09,2017-04-10
Q26845654,Abdoulaye Idrissa Maïga,2017-04-10,2017-12-31
Q2398472,Soumeylou Boubèye Maïga,2017-12-31,2019-04-18
Q30005153,Boubou Cissé,2019-04-23,2020-08-18
Q3317754,Moctar Ouane,2020-09-27,2021-05-24
Q2964323,Choguel Kokalla Maïga,2021-06-06,2022-08-21
Q113577661,Abdoulaye Maïga,2022-08-21,
