who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
65000306,President of Mali,Interim President of Mali,2021-05-28,,Q99522144,Bah Ndaw (acting),,,0
65000306,Q104858893,Vice President of Mali,2020-09-25,2021-05-24,Q103868460,Malick Diaw,,Vacant,1
65000306,List of heads of state of Mali,Chairman of the National Committee for the Salvation of the People of Mali,2020-08-18,2020-09-25,Q324108,Ibrahim Boubacar Keïta (president),Q99522144,Bah Ndaw (acting president),2
65000306,Mali,Chairman of the National Committee for the Salvation of the People of Mali,2020-08-18,2020-09-25,Q324108,Ibrahim Boubacar Keïta (president),Q99522144,Bah Ndaw (acting president),3
