wpid,wpdobstr,wpdob
17682627,"September 17, 1965",1965-09-17
36302970,"September 30, 1954",1954-09-30
65000306,c. undefined 1983 (age 39),
67924702,1979 (age 43),1979
71634688,"May 12, 1981",1981-05-12
